participant,word,color,congruent,incongruent,CN,GC,corrAns,CN.rt,GC.rt,Participant ID,Gender,Age,Ethnicity,Dolls,STEM,Barbie,Leader,Assertiveness,Language
966477,nephew,pink,0.0,1.0,0.0,1.0,m,,0.7615385579993017,966477.0,Prefer not to say,24,mixed,Yes,Yes,Yes,Man,Yes,No
966477,man,pink,0.0,1.0,0.0,1.0,m,,0.768854014997487,966477.0,Prefer not to say,24,mixed,Yes,Yes,Yes,Man,Yes,No
966477,handsome,blue,1.0,0.0,0.0,1.0,m,,0.691881603001093,966477.0,Prefer not to say,24,mixed,Yes,Yes,Yes,Man,Yes,No
176696,gentleman,pink,0.0,1.0,1.0,0.0,p,0.9979862199979834,,176696.0,Male,22,White,Yes,Yes,Yes,Woman,No,Yes
176696,girl,pink,1.0,0.0,1.0,0.0,p,0.6223972349980613,,176696.0,Male,22,White,Yes,Yes,Yes,Woman,No,Yes
176696,aunt,blue,0.0,1.0,1.0,0.0,b,0.6386780699976953,,176696.0,Male,22,White,Yes,Yes,Yes,Woman,No,Yes
176696,grandma,blue,0.0,1.0,1.0,0.0,b,0.4011412830004701,,176696.0,Male,22,White,Yes,Yes,Yes,Woman,No,Yes
176696,grandpa,pink,0.0,1.0,1.0,0.0,b,0.4059865580056794,,176696.0,Male,22,White,Yes,Yes,Yes,Woman,No,Yes
176696,male,pink,0.0,1.0,1.0,0.0,p,0.3951974869996775,,176696.0,Male,22,White,Yes,Yes,Yes,Woman,No,Yes
176696,maid,blue,0.0,1.0,1.0,0.0,b,0.5126638670044485,,176696.0,Male,22,White,Yes,Yes,Yes,Woman,No,Yes
176696,son,blue,1.0,0.0,1.0,0.0,b,0.3998614919983083,,176696.0,Male,22,White,Yes,Yes,Yes,Woman,No,Yes
176696,uncle,blue,1.0,0.0,1.0,0.0,b,0.3548995599994669,,176696.0,Male,22,White,Yes,Yes,Yes,Woman,No,Yes
176696,guy,blue,1.0,0.0,1.0,0.0,b,0.3360465250007109,,176696.0,Male,22,White,Yes,Yes,Yes,Woman,No,Yes
176696,nephew,pink,0.0,1.0,1.0,0.0,p,0.4508718050055904,,176696.0,Male,22,White,Yes,Yes,Yes,Woman,No,Yes
176696,daughter,pink,1.0,0.0,1.0,0.0,p,0.4590861830001813,,176696.0,Male,22,White,Yes,Yes,Yes,Woman,No,Yes
176696,wife,blue,0.0,1.0,1.0,0.0,b,0.4791081610019319,,176696.0,Male,22,White,Yes,Yes,Yes,Woman,No,Yes
176696,female,pink,1.0,0.0,1.0,0.0,p,0.4312824510052451,,176696.0,Male,22,White,Yes,Yes,Yes,Woman,No,Yes
176696,lady,pink,1.0,0.0,1.0,0.0,p,0.8863921059964923,,176696.0,Male,22,White,Yes,Yes,Yes,Woman,No,Yes
176696,dad,pink,0.0,1.0,1.0,0.0,p,0.4377483460048097,,176696.0,Male,22,White,Yes,Yes,Yes,Woman,No,Yes
176696,father,blue,1.0,0.0,1.0,0.0,b,0.4233243089984171,,176696.0,Male,22,White,Yes,Yes,Yes,Woman,No,Yes
176696,handsome,blue,1.0,0.0,1.0,0.0,b,0.4670248640031786,,176696.0,Male,22,White,Yes,Yes,Yes,Woman,No,Yes
176696,sister,pink,1.0,0.0,1.0,0.0,p,0.5198985340030049,,176696.0,Male,22,White,Yes,Yes,Yes,Woman,No,Yes
176696,damsel,blue,0.0,1.0,1.0,0.0,b,0.5612466519960435,,176696.0,Male,22,White,Yes,Yes,Yes,Woman,No,Yes
176696,madam,pink,1.0,0.0,0.0,1.0,f,,0.7969089090038324,176696.0,Male,22,White,Yes,Yes,Yes,Woman,No,Yes
